,age,attrition,businesstravel,department,distancefromhome,education,educationfield,employeenumber,environmentsatisfaction,gender,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,numcompaniesworked,overtime,performancerating,relationshipsatisfaction,stockoptionlevel,trainingtimeslastyear,worklifebalance,yearsatcompany,yearssincelastpromotion,yearswithcurrmanager,datebirth,salary,remotework
368,39,No,Travel Rarely,Sales,2,5,Other,369,1,Female,4,3,Sales Executive,3,Single,0,No,3,4,0,3,3,8,0,7,1984,100071.84,No
369,36,No,No Travel,Sales,8,4,Technical Degree,370,1,Female,3,2,Sales Executive,4,Divorced,4,No,3,4,2,3,3,7,0,7,1987,53914.11,Sí
370,46,No,No Travel,Research & Development,7,2,Medical,371,4,Female,3,3,Manufacturing Director,3,Unknown,6,Unknown,3,2,1,3,3,8,0,7,1977,108450.0,No
371,54,No,Travel Rarely,Research & Development,17,3,Technical Degree,372,3,Male,3,3,Manufacturing Director,3,Unknown,8,Unknown,3,3,1,2,3,10,0,8,1969,100071.84,Sí
372,30,No,Travel Rarely,Research & Development,8,2,Other,373,2,Male,4,3,Research Director,1,Unknown,0,Yes,3,3,3,4,2,8,1,7,1993,100071.84,Sí
373,26,No,No Travel,Research & Development,2,2,Medical,374,4,Female,4,2,Manufacturing Director,4,Married,1,Unknown,3,2,0,2,3,8,1,3,1997,54720.0,No
374,55,No,Travel Frequently,Research & Development,18,4,Medical,375,3,Female,3,2,Healthcare Representative,2,Married,3,Unknown,3,4,2,3,3,8,6,7,1968,63850.0,Sí
375,50,No,No Travel,Sales,1,3,Life Sciences,376,4,Male,3,2,Sales Executive,3,Married,0,Unknown,3,1,1,3,3,18,0,13,1973,63470.0,Sí
376,32,No,No Travel,Research & Development,29,4,Other,377,4,Male,3,1,Laboratory Technician,3,Single,9,No,3,2,0,2,3,8,7,7,1991,28111.13,Sí
377,53,No,Travel Frequently,Sales,2,3,Marketing,378,3,Male,2,3,Sales Executive,2,Unknown,2,Unknown,3,1,1,2,3,15,6,12,1970,75250.0,Sí
378,40,No,Travel Rarely,Sales,26,3,Other,379,3,Female,3,2,Sales Executive,1,Married,1,Unknown,3,2,1,3,2,7,7,5,1983,53914.11,No
379,55,No,No Travel,Sales,2,1,Other,380,3,Female,2,4,Manager,1,Single,7,No,3,2,0,3,4,9,6,2,1968,153407.04,Sí
380,28,Yes,No Travel,Research & Development,24,2,Other,381,2,Female,2,3,Healthcare Representative,1,Single,1,No,3,1,0,2,2,10,1,9,1995,100071.84,No
381,28,No,Travel Rarely,Research & Development,10,3,Other,382,3,Male,3,2,Research Scientist,3,Single,3,No,3,4,0,4,4,8,1,7,1995,36600.0,Sí
382,35,Yes,No Travel,Sales,4,3,Technical Degree,383,4,Female,3,3,Sales Executive,1,Unknown,0,Unknown,4,1,0,2,3,8,4,7,1988,100071.84,Sí
383,33,Yes,Travel Frequently,Research & Development,36,4,Medical,384,36,Male,2,2,Research Scientist,3,Single,1,No,4,2,0,4,3,13,3,8,1990,53914.11,Sí
384,25,Yes,No Travel,Research & Development,4,1,Technical Degree,385,4,Female,3,1,Laboratory Technician,4,Married,1,Unknown,3,2,1,3,4,7,5,6,1998,28111.13,Sí
385,38,No,No Travel,Sales,10,4,Other,386,3,Female,2,3,Sales Executive,3,Unknown,0,Yes,3,2,2,2,3,8,2,7,1985,87400.0,Sí
386,28,No,No Travel,Research & Development,12,3,Other,387,12,Male,3,3,Manufacturing Director,2,Unknown,0,Unknown,3,2,3,3,2,9,1,7,1995,100071.84,Sí
387,43,No,Travel Frequently,Research & Development,27,3,Life Sciences,388,3,Male,3,3,Manufacturing Director,1,Married,8,No,3,3,1,1,3,8,0,1,1980,100071.84,No
388,39,Yes,Travel Frequently,Research & Development,2,3,Life Sciences,389,1,Female,3,4,Healthcare Representative,4,Unknown,7,No,3,4,3,4,3,18,11,5,1984,153407.07,No
389,40,No,Travel Rarely,Research & Development,14,3,Other,390,3,Female,2,5,Research Director,3,Unknown,1,No,3,1,0,2,3,20,4,9,1983,191324.62,Sí
390,29,No,Travel Rarely,Research & Development,8,1,Medical,391,2,Female,2,2,Manufacturing Director,4,Married,1,Unknown,3,3,1,2,2,10,1,2,1994,53914.08,Sí
391,40,No,No Travel,Research & Development,32,4,Other,392,2,Male,3,3,Research Director,3,Unknown,9,No,3,3,0,3,2,18,2,13,1983,134990.0,No
392,26,No,Travel Rarely,Research & Development,3,4,Other,393,1,Female,4,1,Laboratory Technician,4,Unknown,1,Unknown,4,2,1,2,3,8,0,7,1997,28111.13,Sí
393,35,No,Travel Rarely,Research & Development,2,3,Other,394,3,Female,2,3,Manufacturing Director,2,Divorced,2,No,3,2,1,2,4,7,6,4,1988,100071.84,Sí
394,53,No,No Travel,Sales,7,2,Medical,395,4,Male,3,5,Manager,3,Divorced,3,No,3,2,1,6,3,7,4,7,1970,191324.62,No
395,35,No,No Travel,Sales,17,4,Life Sciences,396,3,Female,3,2,Sales Executive,1,Unknown,3,Unknown,3,4,3,2,3,7,1,7,1988,53914.11,Sí
396,33,No,No Travel,Sales,25,3,Medical,397,2,Male,3,2,Sales Executive,3,Unknown,1,No,3,1,1,3,2,10,0,1,1990,53914.11,Sí
397,36,No,No Travel,Research & Development,6,4,Life Sciences,398,3,Female,1,1,Laboratory Technician,3,Divorced,1,No,3,3,1,4,3,7,1,7,1987,28111.13,Sí
398,30,No,Travel Rarely,Research & Development,7,4,Life Sciences,399,3,Female,3,2,Laboratory Technician,3,Divorced,1,Unknown,3,1,3,4,2,10,8,9,1993,34910.0,Sí
399,60,No,No Travel,Sales,29,4,Other,400,29,Female,4,2,Sales Executive,4,Divorced,0,Unknown,3,2,1,3,3,11,1,9,1963,52200.0,Sí
400,32,No,No Travel,Research & Development,2,2,Life Sciences,401,4,Male,3,2,Research Scientist,3,Single,4,Yes,3,4,0,2,3,8,0,7,1991,53914.11,No
401,36,No,No Travel,Research & Development,1,3,Technical Degree,402,3,Male,1,3,Manufacturing Director,1,Divorced,2,Yes,4,3,1,2,3,7,7,7,1987,102520.0,Sí
402,27,No,Travel Rarely,Research & Development,14,3,Other,403,1,Female,3,1,Research Scientist,1,Unknown,1,Unknown,3,4,2,3,2,9,6,8,1996,28111.08,Sí
403,43,No,No Travel,Research & Development,3,3,Life Sciences,404,3,Female,1,5,Research Director,4,Unknown,3,No,3,2,1,2,3,8,0,7,1980,197400.0,Sí
404,29,No,Travel Rarely,Research & Development,1,3,Other,405,4,Male,2,4,Research Director,4,Divorced,3,No,3,2,2,2,2,7,1,7,1994,153407.07,Sí
405,59,No,No Travel,Research & Development,24,4,Other,406,24,Female,3,3,Manufacturing Director,4,Single,6,No,3,4,0,6,2,9,5,4,1964,100071.84,No
406,43,No,Travel Rarely,Sales,4,4,Marketing,407,4,Male,2,3,Sales Executive,4,Single,3,No,3,4,0,3,4,21,15,17,1980,100071.84,Sí
407,44,Yes,Travel Rarely,Research & Development,15,3,Medical,408,1,Male,3,3,Healthcare Representative,4,Married,1,Unknown,3,4,1,2,3,10,0,5,1979,100071.84,Sí
408,29,Yes,No Travel,Research & Development,7,3,Technical Degree,409,2,Male,3,1,Laboratory Technician,3,Divorced,3,Yes,3,1,2,2,3,7,7,7,1994,28111.08,Sí
409,32,No,Travel Rarely,Sales,8,3,Other,410,3,Female,4,2,Sales Executive,4,Married,1,Unknown,3,3,2,4,4,10,0,8,1991,62090.0,No
410,36,No,Travel Rarely,Research & Development,10,4,Technical Degree,411,4,Male,3,3,Healthcare Representative,3,Married,3,No,3,1,0,0,3,7,1,7,1987,70940.0,Sí
411,52,Yes,No Travel,Sales,5,3,Other,412,2,Female,3,3,Sales Executive,2,Single,9,Yes,3,3,0,2,2,8,7,7,1971,100071.84,Sí
412,39,No,Travel Rarely,Research & Development,33,2,Other,413,1,Female,3,2,Manufacturing Director,3,Single,0,Unknown,3,1,0,6,3,8,1,7,1984,45340.0,Sí
413,34,No,No Travel,Research & Development,9,3,Other,414,4,Female,3,3,Healthcare Representative,4,Unknown,0,Unknown,3,4,1,0,2,9,1,6,1989,85000.0,Sí
414,38,No,No Travel,Sales,2,2,Life Sciences,415,2,Male,3,2,Sales Executive,1,Unknown,3,Unknown,3,4,1,3,3,7,1,7,1985,53914.11,Sí
415,36,No,Travel Frequently,Sales,12,3,Marketing,416,12,Male,4,2,Sales Executive,1,Married,2,No,3,4,1,2,2,15,6,13,1987,46390.0,Sí
416,35,No,No Travel,Research & Development,1,3,Other,417,4,Male,2,2,Laboratory Technician,4,Unknown,0,No,3,2,1,0,3,9,0,0,1988,53630.0,No
417,55,Yes,No Travel,Sales,13,4,Other,418,1,Female,4,4,Sales Executive,3,Unknown,6,Unknown,3,3,0,2,2,19,3,8,1968,153407.07,Sí
418,34,No,No Travel,Research & Development,29,3,Other,419,2,Female,3,2,Laboratory Technician,3,Unknown,4,Unknown,3,1,2,1,3,8,7,7,1989,53914.11,No
419,43,No,No Travel,Research & Development,6,3,Medical,420,1,Male,2,2,Research Scientist,3,Single,1,Yes,3,1,0,3,1,20,1,8,1980,40810.0,No
420,42,No,Travel Rarely,Sales,10,3,Human Resources,421,3,Male,3,4,Manager,1,Married,0,Unknown,3,3,1,5,3,20,0,9,1981,153407.07,No
421,26,No,Travel Rarely,Research & Development,7,3,Other,422,3,Female,4,1,Laboratory Technician,1,Single,0,No,3,4,0,2,3,7,0,7,1997,35780.0,Sí
422,29,Yes,No Travel,Research & Development,14,1,Other,423,3,Male,3,3,Healthcare Representative,4,Single,0,Yes,3,1,0,1,3,8,7,7,1994,100071.84,Sí
423,54,No,No Travel,Research & Development,1,3,Other,424,4,Male,3,4,Research Director,4,Unknown,6,Unknown,3,4,0,3,2,20,12,7,1969,173280.0,No
424,55,No,No Travel,Research & Development,1,4,Other,425,2,Female,4,4,Research Director,4,Divorced,2,No,3,4,2,4,4,7,0,0,1968,153407.07,Sí
425,40,No,No Travel,Research & Development,9,4,Other,426,3,Female,3,2,Laboratory Technician,3,Unknown,3,No,3,3,2,2,3,8,0,7,1983,53914.11,Sí
426,31,No,No Travel,Sales,8,2,Other,427,1,Female,3,3,Sales Executive,4,Divorced,1,Unknown,3,1,1,5,3,13,9,9,1992,107930.0,Sí
427,46,Yes,No Travel,Sales,9,3,Marketing,428,1,Female,3,3,Sales Executive,4,Divorced,4,No,3,1,1,1,4,7,4,3,1977,100071.84,Sí
428,45,No,Travel Rarely,Research & Development,20,3,Medical,429,2,Female,1,3,Healthcare Representative,1,Unknown,2,Yes,3,2,1,2,3,7,0,7,1978,108510.0,No
429,49,No,Travel Rarely,Research & Development,7,4,Life Sciences,430,3,Female,3,3,Healthcare Representative,2,Divorced,3,Unknown,3,2,2,3,3,8,0,7,1974,104660.0,No
430,29,No,Travel Rarely,Sales,19,3,Other,431,3,Female,2,2,Sales Executive,3,Unknown,1,Unknown,3,3,2,3,3,10,0,4,1994,53914.11,Sí
431,29,Yes,No Travel,Research & Development,1,4,Technical Degree,432,1,Female,2,1,Research Scientist,1,Single,6,No,3,3,0,2,1,9,0,7,1994,23620.0,Sí
432,29,No,No Travel,Research & Development,8,1,Other,433,3,Male,1,2,Healthcare Representative,1,Unknown,3,No,3,3,1,3,3,7,0,7,1994,53914.11,Sí
433,40,No,Travel Rarely,Sales,6,2,Other,434,3,Female,3,4,Manager,4,Single,1,Yes,4,4,0,2,3,21,7,7,1983,153407.07,Sí
434,48,No,No Travel,Sales,16,4,Life Sciences,435,3,Male,3,2,Sales Executive,3,Divorced,8,No,3,3,1,2,3,8,7,7,1975,64390.0,Sí
435,53,Yes,No Travel,Research & Development,2,5,Other,436,3,Male,2,3,Manufacturing Director,4,Married,0,Unknown,3,2,1,4,3,33,1,9,1970,100071.84,Sí
436,44,No,No Travel,Research & Development,7,3,Medical,437,2,Male,3,5,Research Director,4,Unknown,0,Yes,3,4,1,4,2,22,1,10,1979,191324.62,No
437,45,No,No Travel,Research & Development,5,5,Other,438,3,Male,1,2,Laboratory Technician,1,Unknown,1,Unknown,3,1,0,3,3,10,1,4,1978,57690.0,No
438,45,No,No Travel,Sales,26,3,Marketing,439,1,Female,2,2,Sales Executive,1,Unknown,1,Unknown,3,1,1,2,3,10,4,5,1978,43850.04,No
439,34,No,Travel Frequently,Research & Development,10,4,Other,440,3,Female,4,2,Manufacturing Director,4,Unknown,1,Unknown,3,1,1,3,3,9,7,2,1989,53914.11,Sí
440,39,No,No Travel,Research & Development,10,5,Medical,441,2,Female,3,2,Manufacturing Director,1,Unknown,2,Unknown,3,4,3,3,3,7,7,7,1984,53914.08,No
441,27,No,No Travel,Research & Development,36,3,Other,442,36,Female,2,1,Laboratory Technician,1,Divorced,1,No,3,1,2,3,3,7,0,7,1996,40660.0,Sí
442,45,No,Travel Rarely,Research & Development,2,2,Other,443,4,Male,2,2,Manufacturing Director,4,Divorced,1,Unknown,3,1,2,3,3,10,3,9,1978,53914.08,Sí
443,44,No,No Travel,Human Resources,1,5,Other,444,1,Female,3,2,Human Resources,4,Married,4,Yes,3,3,0,3,3,10,0,2,1979,53914.08,Sí
444,25,No,No Travel,Research & Development,2,1,Life Sciences,445,4,Female,4,2,Manufacturing Director,3,Divorced,1,Unknown,3,3,2,6,3,7,0,7,1998,52060.0,No
445,49,No,No Travel,Sales,1,3,Other,446,3,Female,3,4,Manager,3,Single,4,Unknown,3,1,0,2,3,8,0,0,1974,153407.07,Sí
446,48,Yes,Travel Frequently,Sales,7,2,Other,447,4,Male,3,1,Sales Representative,3,Unknown,2,Unknown,3,3,2,3,3,9,7,7,1975,26550.0,No
447,26,No,No Travel,Research & Development,7,3,Medical,448,4,Female,3,1,Laboratory Technician,4,Unknown,1,No,4,3,0,5,3,7,5,7,1997,25700.0,Sí
448,44,No,Travel Rarely,Research & Development,2,3,Life Sciences,449,3,Male,4,3,Healthcare Representative,4,Unknown,1,Unknown,3,2,1,2,3,8,6,7,1979,100071.84,Sí
449,36,No,No Travel,Sales,2,4,Other,450,3,Male,3,2,Sales Representative,4,Single,3,Unknown,3,3,0,2,2,13,6,7,1987,45020.0,Sí
450,46,No,No Travel,Research & Development,13,4,Other,451,3,Female,3,2,Healthcare Representative,2,Single,6,No,3,4,0,3,3,10,0,9,1977,53914.11,Sí
451,35,No,No Travel,Research & Development,27,4,Life Sciences,452,4,Female,3,2,Manufacturing Director,3,Married,2,Unknown,3,2,1,3,3,7,0,7,1988,53914.11,Sí
452,30,No,Travel Frequently,Research & Development,2,4,Other,453,4,Male,2,1,Research Scientist,1,Unknown,0,Unknown,3,4,0,2,3,9,0,7,1993,49680.0,No
453,30,No,No Travel,Sales,15,2,Marketing,454,3,Female,2,3,Sales Executive,1,Unknown,2,No,3,1,1,2,3,7,1,7,1993,100071.84,Sí
454,33,No,No Travel,Sales,2,3,Marketing,455,4,Male,3,2,Sales Executive,2,Unknown,8,No,3,4,0,2,2,11,1,7,1990,51470.0,Sí
455,32,No,No Travel,Research & Development,5,4,Other,456,2,Female,3,1,Research Scientist,2,Single,2,No,3,2,0,3,3,7,0,7,1991,27180.0,Sí
456,43,No,Travel Rarely,Human Resources,2,3,Life Sciences,457,2,Female,3,1,Human Resources,4,Unknown,0,No,3,2,0,5,3,9,1,8,1980,35390.04,No
457,31,No,Travel Rarely,Sales,29,4,Marketing,458,1,Male,2,2,Sales Executive,4,Unknown,1,Unknown,3,1,2,3,3,12,5,7,1992,54680.0,Sí
458,35,Yes,No Travel,Sales,27,3,Other,459,3,Female,3,2,Sales Executive,4,Unknown,1,Unknown,3,4,0,2,3,10,7,7,1988,58130.04,No
459,35,No,No Travel,Research & Development,2,2,Medical,460,2,Female,3,2,Manufacturing Director,4,Divorced,2,No,3,3,1,6,3,7,1,7,1988,53914.11,No
460,30,No,No Travel,Research & Development,10,3,Medical,461,1,Male,3,3,Manufacturing Director,3,Single,9,No,3,2,0,3,3,7,0,2,1993,96670.0,No
461,46,Yes,Travel Rarely,Research & Development,19,2,Medical,462,4,Male,3,2,Healthcare Representative,2,Married,4,No,4,4,1,2,4,9,3,7,1977,53914.08,No
462,45,No,No Travel,Sales,2,4,Other,463,3,Male,3,2,Sales Executive,3,Married,4,Unknown,4,2,2,3,4,8,5,7,1978,51540.0,No
463,43,No,Travel Frequently,Sales,2,4,Life Sciences,464,1,Female,3,2,Sales Executive,4,Married,1,Unknown,4,3,1,5,3,7,7,7,1980,56750.0,No
464,46,Yes,No Travel,Sales,10,3,Life Sciences,465,3,Male,3,3,Sales Executive,2,Unknown,5,Unknown,4,3,3,2,3,8,0,7,1977,73140.0,Sí
465,40,No,Travel Rarely,Sales,1,4,Other,466,1,Female,3,4,Manager,1,Unknown,2,Unknown,3,1,1,3,3,19,11,16,1983,153407.04,Sí
466,27,No,Travel Rarely,Sales,2,2,Other,467,1,Male,4,2,Sales Executive,3,Single,0,No,3,2,0,5,2,8,0,7,1996,53914.11,No
467,42,No,No Travel,Research & Development,6,3,Medical,468,3,Female,3,3,Research Director,1,Married,9,No,3,2,1,3,4,13,5,7,1981,100071.84,Sí
468,26,No,Travel Frequently,Research & Development,6,3,Other,469,3,Female,4,1,Laboratory Technician,4,Married,0,No,3,1,1,3,3,7,7,7,1997,28111.13,Sí
469,28,No,Travel Frequently,Sales,1,2,Life Sciences,470,3,Female,2,2,Sales Executive,4,Married,1,Unknown,3,3,1,2,3,7,0,7,1995,53914.11,Sí
470,47,No,No Travel,Research & Development,14,4,Other,471,3,Female,3,2,Research Scientist,2,Married,8,Unknown,3,3,1,4,4,8,1,7,1976,53914.11,No
471,34,No,Travel Rarely,Sales,13,4,Medical,472,4,Female,3,3,Sales Executive,3,Divorced,1,No,3,3,1,2,2,8,1,1,1989,100071.84,Sí
472,26,No,No Travel,Research & Development,1,3,Medical,473,3,Female,3,1,Laboratory Technician,1,Single,0,No,3,4,0,6,3,7,7,6,1997,28111.13,Sí
473,27,No,Travel Rarely,Sales,9,3,Other,474,4,Female,3,2,Sales Executive,4,Unknown,1,Unknown,3,1,0,5,3,7,0,7,1996,53914.11,No
474,31,Yes,Travel Frequently,Sales,26,4,Marketing,475,1,Female,3,2,Sales Executive,4,Unknown,1,Yes,3,3,0,4,3,10,0,8,1992,53914.11,Sí
475,33,No,Travel Frequently,Research & Development,7,2,Life Sciences,476,4,Female,3,2,Healthcare Representative,3,Divorced,1,Unknown,3,3,3,2,3,9,2,8,1990,53914.08,Sí
476,31,No,No Travel,Research & Development,10,3,Other,477,3,Male,3,3,Research Director,3,Married,4,No,4,3,1,2,4,11,4,8,1992,100071.84,Sí
477,35,No,No Travel,Research & Development,9,4,Medical,478,2,Female,3,2,Research Scientist,3,Unknown,1,No,3,2,0,5,3,10,0,8,1988,50980.0,Sí
478,33,No,Travel Rarely,Research & Development,15,2,Other,479,2,Male,3,2,Healthcare Representative,4,Married,0,Yes,3,1,1,6,3,9,8,1,1990,53914.11,Sí
479,39,No,Travel Rarely,Research & Development,24,1,Life Sciences,480,1,Female,3,2,Research Scientist,4,Single,7,No,3,1,0,2,3,7,1,7,1984,53914.08,No
480,36,No,Travel Rarely,Sales,46,3,Other,481,46,Male,2,3,Sales Executive,4,Married,0,No,3,3,2,2,3,9,3,4,1987,100071.84,Sí
481,41,No,Travel Rarely,Research & Development,28,4,Life Sciences,482,1,Male,2,4,Manufacturing Director,2,Married,0,No,3,3,1,3,3,20,0,10,1982,135700.0,Sí
482,34,No,No Travel,Sales,28,3,Marketing,483,4,Male,2,2,Sales Executive,3,Married,1,No,4,4,2,2,3,8,1,7,1989,67120.0,No
483,38,No,Travel Rarely,Sales,10,2,Other,484,1,Male,3,2,Sales Executive,4,Married,1,No,3,3,1,1,3,10,1,9,1985,53914.08,Sí
484,39,No,Travel Rarely,Research & Development,6,1,Other,485,4,Female,2,3,Healthcare Representative,1,Unknown,4,Unknown,3,1,1,5,3,7,1,7,1984,99910.0,Sí
485,34,No,Travel Rarely,Research & Development,7,4,Other,486,1,Male,3,3,Research Director,2,Single,0,No,3,3,0,4,3,12,2,11,1989,100071.84,No
486,44,No,Travel Rarely,Research & Development,7,4,Medical,487,1,Male,2,3,Healthcare Representative,4,Married,3,Unknown,3,4,1,4,3,22,5,17,1979,102480.0,Sí
487,46,No,No Travel,Sales,5,4,Other,488,1,Female,3,2,Sales Executive,4,Single,4,Unknown,3,3,0,4,3,9,0,8,1977,53914.11,Sí
488,41,No,Travel Frequently,Sales,10,3,Life Sciences,489,4,Female,2,4,Manager,1,Divorced,4,Unknown,3,2,1,2,2,7,7,7,1982,153407.07,No
489,39,No,No Travel,Research & Development,2,4,Other,490,3,Male,3,3,Healthcare Representative,3,Single,0,No,4,4,0,1,3,19,11,8,1984,109380.0,No
490,42,No,Travel Rarely,Research & Development,2,3,Medical,491,4,Male,2,1,Laboratory Technician,1,Divorced,0,Yes,3,3,1,4,3,9,7,8,1981,25930.0,Sí
491,33,No,Travel Frequently,Sales,5,4,Other,492,4,Male,3,3,Manager,2,Married,6,Unknown,3,2,2,2,3,10,8,8,1990,118779.95999999999,Sí
492,35,No,Travel Rarely,Research & Development,5,4,Technical Degree,493,3,Female,3,3,Manufacturing Director,2,Single,0,No,3,4,0,5,3,16,0,13,1988,80950.0,Sí
493,33,Yes,Travel Rarely,Sales,15,1,Medical,494,2,Female,3,3,Manager,3,Married,7,Unknown,3,4,0,2,4,7,7,7,1990,100071.84,Sí
494,40,No,Travel Rarely,Research & Development,6,3,Life Sciences,495,2,Male,3,4,Manufacturing Director,3,Single,7,No,3,3,0,3,3,20,5,13,1983,153407.07,No
495,41,No,Travel Rarely,Sales,10,4,Human Resources,496,2,Female,2,5,Manager,4,Divorced,3,No,3,2,3,2,2,21,12,6,1982,191324.62,No
496,27,No,No Travel,Research & Development,7,3,Other,497,4,Male,2,2,Healthcare Representative,1,Unknown,8,No,3,1,0,2,1,7,0,7,1996,53914.11,No
497,52,No,Travel Rarely,Sales,3,4,Marketing,498,3,Female,2,4,Manager,1,Unknown,1,Unknown,3,1,0,3,4,34,1,16,1971,168560.0,Sí
498,51,No,Travel Rarely,Sales,26,4,Marketing,499,1,Male,3,4,Manager,3,Married,2,No,3,3,1,2,2,20,4,17,1972,153407.07,No
499,47,No,Travel Rarely,Sales,2,2,Marketing,500,3,Male,3,2,Sales Executive,4,Unknown,0,Unknown,4,1,1,2,3,7,7,7,1976,45370.0,Sí
500,50,No,No Travel,Sales,2,4,Other,501,1,Female,3,4,Manager,1,Divorced,1,Unknown,3,4,1,3,3,31,14,7,1973,179240.0,No
501,35,No,Travel Rarely,Research & Development,21,1,Life Sciences,502,4,Male,3,2,Healthcare Representative,4,Married,1,Unknown,4,4,1,2,1,10,0,7,1988,40140.0,Sí
502,39,No,Travel Rarely,Research & Development,1,1,Other,503,4,Male,2,4,Manufacturing Director,4,Married,1,No,3,3,1,3,3,21,11,8,1984,127420.0,Sí
503,39,No,Travel Frequently,Research & Development,22,3,Medical,504,4,Male,3,3,Manufacturing Director,1,Single,1,Unknown,3,3,0,2,3,21,2,8,1984,100071.84,No
504,41,No,No Travel,Research & Development,7,2,Other,505,2,Male,4,1,Research Scientist,3,Unknown,1,No,3,3,0,3,3,10,0,8,1982,33760.0,No
505,44,Yes,No Travel,Human Resources,1,2,Medical,506,2,Female,2,3,Human Resources,1,Married,9,No,3,4,1,1,3,20,3,6,1979,104820.0,Sí
506,42,No,No Travel,Sales,2,2,Medical,507,4,Female,3,4,Manager,1,Unknown,0,No,3,4,1,3,3,22,13,7,1981,153407.04,No
507,52,No,Travel Rarely,Research & Development,7,4,Life Sciences,508,2,Female,3,3,Healthcare Representative,2,Single,7,Unknown,3,4,0,4,3,8,4,0,1971,100071.84,Sí
508,38,No,No Travel,Human Resources,1,3,Other,509,3,Female,4,1,Human Resources,3,Unknown,1,No,3,4,1,2,4,7,5,0,1985,28111.13,Sí
509,46,No,No Travel,Human Resources,1,2,Life Sciences,510,4,Male,3,1,Human Resources,1,Unknown,6,Unknown,3,3,0,3,4,7,5,7,1977,28111.13,Sí
510,35,No,No Travel,Research & Development,4,4,Life Sciences,511,3,Female,3,2,Research Scientist,3,Single,1,Unknown,3,2,0,3,3,9,1,1,1988,42490.0,No
511,28,No,Travel Rarely,Research & Development,29,1,Life Sciences,512,3,Female,1,2,Manufacturing Director,2,Married,1,Unknown,3,2,2,2,2,8,1,7,1995,65490.0,Sí
512,44,No,No Travel,Research & Development,28,3,Life Sciences,513,4,Female,3,4,Research Director,1,Married,3,No,3,3,1,1,4,20,14,17,1979,153407.04,Sí
513,50,No,No Travel,Research & Development,22,5,Other,514,3,Female,1,4,Research Director,4,Unknown,1,Unknown,3,4,0,2,3,32,13,9,1973,144110.04,No
514,55,No,Travel Rarely,Sales,23,5,Marketing,515,3,Female,2,5,Manager,4,Unknown,1,No,4,3,1,3,3,36,2,13,1968,195860.0,Sí
515,39,No,No Travel,Sales,6,3,Other,516,4,Female,4,3,Sales Executive,3,Married,2,No,3,1,1,3,3,7,7,6,1984,82370.0,Sí
516,49,No,No Travel,Research & Development,13,4,Other,517,13,Male,3,1,Laboratory Technician,1,Unknown,1,Unknown,3,4,1,3,2,9,1,4,1974,32109.96,Sí
517,45,No,No Travel,Research & Development,28,2,Technical Degree,518,4,Male,2,4,Research Director,2,Single,1,Unknown,3,3,0,2,3,21,8,6,1978,167040.0,No
518,46,No,No Travel,Sales,2,3,Other,519,3,Female,3,3,Sales Executive,4,Unknown,4,Unknown,3,2,1,5,2,10,0,3,1977,100071.84,No
519,27,No,No Travel,Research & Development,15,3,Other,520,4,Male,2,1,Research Scientist,1,Married,0,No,3,4,1,2,3,7,7,3,1996,47740.0,No
520,42,No,Travel Rarely,Sales,2,3,Other,521,1,Female,3,5,Manager,3,Married,5,Unknown,3,1,0,2,2,22,4,14,1981,191324.63999999998,Sí
521,49,No,No Travel,Sales,2,3,Other,522,4,Female,2,2,Sales Executive,2,Married,2,Unknown,3,4,0,3,2,9,0,8,1974,53914.11,Sí
522,29,No,Travel Rarely,Research & Development,15,2,Life Sciences,523,4,Male,2,2,Laboratory Technician,3,Single,0,Yes,3,4,0,3,3,9,0,8,1994,53914.11,Sí
523,34,No,No Travel,Sales,12,4,Marketing,524,12,Female,3,2,Sales Executive,3,Unknown,0,No,4,3,0,2,3,9,8,7,1989,45680.0,No
524,37,No,No Travel,Research & Development,1,4,Other,525,1,Female,2,2,Manufacturing Director,3,Divorced,1,No,3,3,1,2,3,7,0,7,1986,59930.0,No
525,36,No,No Travel,Research & Development,11,3,Other,526,2,Female,2,2,Manufacturing Director,2,Single,1,No,3,3,0,3,3,6,0,3,1987,64990.0,Sí
526,45,No,No Travel,Research & Development,29,3,Other,527,3,Female,3,1,Research Scientist,4,Single,5,Unknown,3,2,0,2,2,6,0,3,1978,34520.0,Sí
527,29,No,Travel Rarely,Research & Development,15,3,Other,528,3,Female,3,1,Research Scientist,4,Unknown,1,No,3,1,0,1,3,6,1,5,1994,28111.13,No
528,26,No,No Travel,Research & Development,1,3,Other,529,3,Male,3,2,Manufacturing Director,2,Unknown,1,No,4,1,1,6,1,6,1,4,1997,63970.0,No
529,28,No,No Travel,Sales,9,4,Life Sciences,530,2,Female,3,2,Sales Executive,4,Single,1,No,3,4,0,1,3,7,0,7,1995,53914.11,Sí
530,42,No,Travel Frequently,Research & Development,30,4,Technical Degree,531,4,Male,2,2,Healthcare Representative,4,Married,0,No,3,4,3,4,4,6,0,4,1981,53914.11,Sí
531,31,No,Travel Rarely,Sales,2,1,Life Sciences,532,2,Female,3,2,Sales Executive,4,Unknown,4,Yes,3,3,0,2,4,6,0,5,1992,53914.11,Sí
532,37,No,Travel Rarely,Research & Development,47,3,Other,533,47,Male,3,3,Manufacturing Director,4,Single,4,Unknown,3,4,0,3,4,6,1,2,1986,100071.84,Sí
