,age,attrition,businesstravel,dailyrate,department,distancefromhome,education,educationfield,employeenumber,environmentsatisfaction,gender,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,monthlyincome,monthlyrate,numcompaniesworked,overtime,percentsalaryhike,relationshipsatisfaction,stockoptionlevel,trainingtimeslastyear,yearsatcompany,yearssincelastpromotion,yearswithcurrmanager,datebirth,salary,remotework
327,41,No,Unknown,556.2566609977324,Research & Development,2,4,Other,328,1,Male,2,2,Healthcare Representative,3,Single,4492.84,11681.39,2,Yes,17,1,0,3,8,0,7,1982,53914.11,Sí
328,34,No,Unknown,550.6428571428571,Sales,21,4,Unknown,329,4,Female,4,2,Sales Executive,4,Single,4492.84,11563.5,1,Unknown,12,4,0,3,10,5,7,1989,53370.0,Sí
329,31,No,Travel Rarely,556.2566609977324,Sales,6,4,Medical,330,1,Female,4,2,Sales Executive,4,Divorced,4492.84,11681.39,4,No,22,4,2,4,7,5,7,1992,53914.11,Sí
330,43,No,Travel Frequently,556.2566609977324,Research & Development,9,5,Unknown,331,4,Female,3,2,Laboratory Technician,3,Divorced,4492.84,11681.39,3,Unknown,13,2,1,3,8,4,7,1980,53914.11,No
331,53,No,Unknown,556.2566609977324,Sales,1,1,Unknown,332,4,Male,3,2,Sales Executive,1,Single,4492.84,11681.39,7,Unknown,20,4,0,2,14,8,10,1970,53914.11,No
332,37,No,Travel Rarely,973.3492063492064,Research & Development,3,3,Other,333,3,Female,3,3,Manufacturing Director,3,Married,7861.67,20440.33,1,No,15,3,1,2,10,7,8,1986,94340.0,Sí
333,54,No,Unknown,1032.4872861766066,Human Resources,19,4,Unknown,334,3,Female,3,3,Human Resources,2,Unknown,8339.32,21682.23,2,Unknown,15,3,1,1,9,7,1,1969,100071.84,Sí
334,38,No,Travel Rarely,556.2566609977324,Sales,7,4,Marketing,335,4,Male,2,2,Sales Executive,4,Unknown,4492.84,11681.39,0,No,20,1,0,2,7,0,5,1985,53914.11,Sí
335,29,No,Unknown,290.03550973654063,Research & Development,1,4,Life Sciences,336,2,Female,1,1,Research Scientist,4,Divorced,2342.59,6090.75,1,Unknown,18,4,1,5,10,2,8,1994,28111.13,Sí
336,34,No,Unknown,1032.4872861766066,Research & Development,9,3,Medical,337,4,Male,2,3,Healthcare Representative,2,Unknown,4492.84,21682.23,1,Unknown,14,2,0,3,8,7,7,1989,100071.84,No
337,39,No,Unknown,556.2566609977324,Research & Development,2,4,Technical Degree,338,4,Male,2,2,Healthcare Representative,3,Single,4492.84,11681.39,1,No,11,1,0,4,20,11,10,1984,53914.11,No
338,32,No,Unknown,556.7301587301588,Sales,10,3,Marketing,339,4,Female,3,2,Sales Executive,4,Unknown,4496.67,11691.33,1,Unknown,12,4,0,2,10,0,8,1991,53960.0,Sí
339,38,No,Travel Rarely,556.2566609977324,Research & Development,1,4,Life Sciences,340,2,Male,4,2,Healthcare Representative,4,Unknown,4492.84,11681.39,0,Unknown,13,3,0,4,9,1,8,1985,53914.11,Sí
340,27,No,Travel Rarely,1032.4872861766066,Research & Development,1,2,Life Sciences,341,3,Male,3,3,Manufacturing Director,1,Married,8339.32,21682.23,1,Unknown,11,4,0,3,9,0,7,1996,100071.84,No
341,32,No,Travel Rarely,1151.3253968253969,Research & Development,3,2,Life Sciences,342,3,Male,3,3,Research Director,4,Single,9299.17,24177.83,3,Unknown,15,4,0,6,7,7,7,1991,111590.0,No
342,47,No,Unknown,511.7460317460318,Sales,35,4,Marketing,343,4,Female,3,2,Sales Executive,1,Single,4133.33,10746.67,2,Unknown,12,4,0,2,7,1,7,1976,53914.11,No
343,27,No,Travel Frequently,907.2142857142858,Research & Development,10,2,Unknown,344,4,Female,3,3,Manufacturing Director,1,Unknown,7327.5,19051.5,1,No,21,3,2,4,9,1,7,1996,87930.0,Sí
344,41,No,Unknown,1979.8174603174605,Sales,1,3,Unknown,345,4,Female,2,5,Manager,3,Unknown,4492.84,41576.17,1,No,12,2,1,3,22,2,10,1982,191890.0,No
345,28,Yes,Unknown,228.63492063492063,Research & Development,35,2,Unknown,346,35,Male,1,1,Research Scientist,2,Unknown,1846.67,4801.33,7,Yes,13,4,0,4,7,3,7,1995,22160.0,Sí
346,36,No,Unknown,1208.484126984127,Research & Development,8,3,Unknown,347,1,Male,4,3,Research Director,1,Married,9760.83,25378.17,9,Unknown,14,1,1,2,8,0,5,1987,117130.0,No
347,30,No,Unknown,547.2380952380953,Sales,27,5,Marketing,348,3,Female,3,2,Sales Executive,4,Divorced,4420.0,11492.0,7,No,23,4,1,2,8,7,7,1993,53040.0,Sí
348,56,No,Travel Rarely,1145.547619047619,Research & Development,9,3,Unknown,349,3,Female,3,4,Healthcare Representative,4,Married,9252.5,24056.5,7,No,11,3,0,1,10,1,1,1967,111030.0,No
349,45,No,Travel Rarely,684.2539682539683,Sales,2,2,Unknown,350,2,Female,1,2,Sales Representative,3,Single,5526.67,14369.33,0,No,13,1,0,3,8,3,1,1978,66320.0,Sí
350,36,No,No Travel,782.7857142857142,Sales,8,4,Unknown,351,1,Female,2,3,Sales Executive,1,Single,6322.5,16438.5,1,Unknown,15,2,0,1,10,0,9,1987,75870.0,No
351,29,No,Unknown,447.2619047619048,Research & Development,27,3,Medical,352,2,Male,3,2,Healthcare Representative,3,Married,3612.5,9392.5,4,No,12,1,1,3,8,1,1,1994,43350.0,Sí
352,38,No,Unknown,616.984126984127,Research & Development,2,4,Life Sciences,353,1,Male,4,2,Manufacturing Director,1,Single,4983.33,12956.67,6,Unknown,12,4,0,2,15,4,12,1985,59800.0,Sí
353,40,No,Unknown,437.8730158730159,Research & Development,13,2,Medical,354,13,Male,4,2,Healthcare Representative,2,Unknown,3536.67,9195.33,1,No,24,4,1,2,8,3,7,1983,53914.11,Sí
354,42,No,Travel Frequently,1973.9841269841268,Sales,8,3,Unknown,355,2,Female,3,5,Manager,4,Unknown,15943.72,41453.67,1,No,13,2,1,4,24,14,9,1981,53914.11,Sí
355,36,No,Travel Rarely,539.3968253968254,Research & Development,1,3,Other,356,3,Male,3,2,Manufacturing Director,2,Unknown,4356.67,11327.33,0,Unknown,15,1,1,2,9,0,5,1987,52280.0,No
356,29,No,Travel Rarely,278.57142857142856,Research & Development,23,2,Unknown,357,3,Female,4,1,Research Scientist,3,Married,2250.0,5850.0,1,Unknown,24,3,1,3,10,0,7,1994,27000.0,Sí
357,55,Yes,Unknown,556.2566609977324,Sales,2,1,Medical,358,3,Female,3,2,Sales Executive,4,Single,4492.84,11681.39,4,Unknown,16,3,0,3,9,7,3,1968,53914.11,No
358,28,No,Unknown,556.2566609977324,Sales,2,4,Unknown,359,2,Male,3,2,Sales Executive,2,Unknown,4492.84,11681.39,1,Unknown,20,1,0,2,8,7,5,1995,53914.11,Sí
359,26,Yes,Unknown,244.11111111111111,Research & Development,5,2,Medical,360,3,Male,2,1,Research Scientist,3,Married,1971.67,5126.33,1,Unknown,14,1,1,2,8,1,7,1997,23660.0,Sí
360,44,No,Unknown,290.03550973654063,Research & Development,9,2,Unknown,361,2,Female,3,1,Research Scientist,1,Unknown,2342.59,6090.75,1,Yes,13,4,0,0,8,7,1,1979,53914.11,Sí
361,41,Yes,Unknown,290.03550973654063,Research & Development,2,4,Life Sciences,362,2,Male,1,1,Laboratory Technician,4,Divorced,2342.59,6090.75,4,Yes,13,3,1,1,7,1,0,1982,53914.11,Sí
362,31,No,Travel Rarely,240.2936507936508,Sales,7,4,Unknown,363,2,Female,2,1,Sales Representative,3,Unknown,1940.83,5046.17,3,Unknown,15,2,0,2,7,5,2,1992,23290.0,No
363,26,No,Travel Frequently,443.031746031746,Sales,28,3,Medical,364,28,Female,2,2,Sales Executive,1,Unknown,4492.84,9303.67,1,Unknown,12,2,0,2,7,0,7,1997,42940.0,Sí
364,31,No,Unknown,556.2566609977324,Research & Development,12,3,Medical,365,4,Male,3,2,Healthcare Representative,4,Unknown,4492.84,11681.39,0,Unknown,11,3,2,2,9,8,5,1992,53914.11,No
365,32,No,Unknown,693.8492063492063,Research & Development,3,4,Medical,366,3,Male,3,2,Manufacturing Director,1,Married,4492.84,14570.83,1,Unknown,12,3,1,2,8,6,3,1991,67250.0,No
366,36,Yes,Travel Rarely,1065.2777777777778,Sales,3,1,Life Sciences,367,3,Female,2,3,Sales Executive,4,Married,8604.17,22370.83,1,Unknown,11,1,1,6,16,3,7,1987,103250.0,No
367,45,No,No Travel,458.8174603174604,Research & Development,47,2,Unknown,368,47,Female,3,2,Laboratory Technician,2,Unknown,4492.84,9635.17,1,Unknown,12,2,0,5,9,0,8,1978,44470.0,Sí
368,39,No,Travel Rarely,1032.4872861766066,Sales,2,5,Unknown,369,1,Female,4,3,Sales Executive,3,Single,4492.84,21682.23,0,No,18,4,0,3,8,0,7,1984,100071.84,No
369,36,No,No Travel,556.2566609977324,Sales,8,4,Technical Degree,370,1,Female,3,2,Sales Executive,4,Divorced,4492.84,11681.39,4,No,13,4,2,3,7,0,7,1987,53914.11,Sí
370,46,No,Unknown,1118.928571428571,Research & Development,7,2,Medical,371,4,Female,3,3,Manufacturing Director,3,Unknown,9037.5,23497.5,6,Unknown,13,2,1,3,8,0,7,1977,108450.0,No
371,54,No,Travel Rarely,1032.4872861766066,Research & Development,17,3,Technical Degree,372,3,Male,3,3,Manufacturing Director,3,Unknown,8339.32,21682.23,8,Unknown,11,3,1,2,10,0,8,1969,100071.84,Sí
372,30,No,Travel Rarely,1032.4872861766066,Research & Development,8,2,Unknown,373,2,Male,4,3,Research Director,1,Unknown,8339.32,21682.23,0,Yes,12,3,3,4,8,1,7,1993,100071.84,Sí
373,26,No,Unknown,564.5714285714286,Research & Development,2,2,Medical,374,4,Female,4,2,Manufacturing Director,4,Married,4492.84,11856.0,1,Unknown,12,2,0,2,8,1,3,1997,54720.0,No
374,55,No,Travel Frequently,658.7698412698413,Research & Development,18,4,Medical,375,3,Female,3,2,Healthcare Representative,2,Married,5320.83,13834.17,3,Unknown,14,4,2,3,8,6,7,1968,63850.0,Sí
375,50,No,No Travel,654.8492063492064,Sales,1,3,Life Sciences,376,4,Male,3,2,Sales Executive,3,Married,4492.84,13751.83,0,Unknown,12,1,1,3,18,0,13,1973,63470.0,Sí
376,32,No,No Travel,290.03550973654063,Research & Development,29,4,Unknown,377,4,Male,3,1,Laboratory Technician,3,Single,4492.84,6090.75,9,No,12,2,0,2,8,7,7,1991,28111.13,Sí
377,53,No,Travel Frequently,776.3888888888888,Sales,2,3,Marketing,378,3,Male,2,3,Sales Executive,2,Unknown,4492.84,16304.17,2,Unknown,12,1,1,2,15,6,12,1970,75250.0,Sí
378,40,No,Travel Rarely,556.2566609977324,Sales,26,3,Unknown,379,3,Female,3,2,Sales Executive,1,Married,4492.84,11681.39,1,Unknown,14,2,1,3,7,7,5,1983,53914.11,No
379,55,No,Unknown,1582.7713464696226,Sales,2,1,Unknown,380,3,Female,2,4,Manager,1,Single,12783.92,33238.2,7,No,15,2,0,3,9,6,2,1968,53914.11,Sí
380,28,Yes,No Travel,1032.4872861766066,Research & Development,24,2,Unknown,381,2,Female,2,3,Healthcare Representative,1,Single,8339.32,21682.23,1,No,12,1,0,2,10,1,9,1995,100071.84,No
381,28,No,Travel Rarely,377.6190476190477,Research & Development,10,3,Other,382,3,Male,3,2,Research Scientist,3,Single,3050.0,7930.0,3,No,13,4,0,4,8,1,7,1995,53914.11,Sí
382,35,Yes,Unknown,1032.4872861766066,Sales,4,3,Technical Degree,383,4,Female,3,3,Sales Executive,1,Unknown,4492.84,21682.23,0,Unknown,22,1,0,2,8,4,7,1988,100071.84,Sí
383,33,Yes,Travel Frequently,556.2566609977324,Research & Development,36,4,Medical,384,36,Male,2,2,Research Scientist,3,Single,4492.84,11681.39,1,No,22,2,0,4,13,3,8,1990,53914.11,Sí
384,25,Yes,Unknown,290.03550973654063,Research & Development,4,1,Technical Degree,385,4,Female,3,1,Laboratory Technician,4,Married,4492.84,6090.75,1,Unknown,15,2,1,3,7,5,6,1998,28111.13,Sí
385,38,No,Unknown,901.7460317460316,Sales,10,4,Unknown,386,3,Female,2,3,Sales Executive,3,Unknown,7283.33,18936.67,0,Yes,14,2,2,2,8,2,7,1985,87400.0,Sí
386,28,No,Unknown,1032.4872861766066,Research & Development,12,3,Unknown,387,12,Male,3,3,Manufacturing Director,2,Unknown,4492.84,21682.23,0,Unknown,17,2,3,3,9,1,7,1995,100071.84,Sí
387,43,No,Travel Frequently,1032.4872861766066,Research & Development,27,3,Life Sciences,388,3,Male,3,3,Manufacturing Director,1,Married,4492.84,21682.23,8,No,11,3,1,1,8,0,1,1980,100071.84,No
388,39,Yes,Travel Frequently,1582.7713464696226,Research & Development,2,3,Life Sciences,389,1,Female,3,4,Healthcare Representative,4,Unknown,12783.92,33238.2,7,No,11,4,3,4,18,11,5,1984,153407.07,No
389,40,No,Travel Rarely,1973.9841269841268,Research & Development,14,3,Unknown,390,3,Female,2,5,Research Director,3,Unknown,4492.84,41453.67,1,No,14,1,0,2,20,4,9,1983,191324.62,Sí
390,29,No,Travel Rarely,556.2566609977324,Research & Development,8,1,Medical,391,2,Female,2,2,Manufacturing Director,4,Married,4492.84,11681.39,1,Unknown,15,3,1,2,10,1,2,1994,53914.11,Sí
391,40,No,Unknown,1392.7539682539682,Research & Development,32,4,Unknown,392,2,Male,3,3,Research Director,3,Unknown,11249.17,29247.83,9,No,17,3,0,3,18,2,13,1983,134990.0,No
392,26,No,Travel Rarely,290.03550973654063,Research & Development,3,4,Unknown,393,1,Female,4,1,Laboratory Technician,4,Unknown,2342.59,6090.75,1,Unknown,22,2,1,2,8,0,7,1997,28111.13,Sí
393,35,No,Travel Rarely,1032.4872861766066,Research & Development,2,3,Unknown,394,3,Female,2,3,Manufacturing Director,2,Divorced,8339.32,21682.23,2,No,18,2,1,2,7,6,4,1988,53914.11,Sí
394,53,No,Unknown,1973.9841269841268,Sales,7,2,Medical,395,4,Male,3,5,Manager,3,Divorced,15943.72,41453.67,3,No,18,2,1,6,7,4,7,1970,191324.62,No
395,35,No,Unknown,556.2566609977324,Sales,17,4,Life Sciences,396,3,Female,3,2,Sales Executive,1,Unknown,4492.84,11681.39,3,Unknown,15,4,3,2,7,1,7,1988,53914.11,Sí
396,33,No,Unknown,556.2566609977324,Sales,25,3,Medical,397,2,Male,3,2,Sales Executive,3,Unknown,4492.84,11681.39,1,No,12,1,1,3,10,0,1,1990,53914.11,Sí
397,36,No,Unknown,290.03550973654063,Research & Development,6,4,Life Sciences,398,3,Female,1,1,Laboratory Technician,3,Divorced,4492.84,6090.75,1,No,14,3,1,4,7,1,7,1987,28111.13,Sí
398,30,No,Travel Rarely,360.1825396825397,Research & Development,7,4,Life Sciences,399,3,Female,3,2,Laboratory Technician,3,Divorced,2909.17,7563.83,1,Unknown,13,1,3,4,10,8,9,1993,34910.0,Sí
399,60,No,Unknown,538.5714285714286,Sales,29,4,Unknown,400,29,Female,4,2,Sales Executive,4,Divorced,4350.0,11310.0,0,Unknown,18,2,1,3,11,1,9,1963,53914.11,Sí
400,32,No,Unknown,556.2566609977324,Research & Development,2,2,Life Sciences,401,4,Male,3,2,Research Scientist,3,Single,4492.84,11681.39,4,Yes,14,4,0,2,8,0,7,1991,53914.11,No
401,36,No,Unknown,1057.7460317460318,Research & Development,1,3,Technical Degree,402,3,Male,1,3,Manufacturing Director,1,Divorced,8543.33,22212.67,2,Yes,21,3,1,2,7,7,7,1987,102520.0,Sí
402,27,No,Travel Rarely,290.03550973654063,Research & Development,14,3,Unknown,403,1,Female,3,1,Research Scientist,1,Unknown,2342.59,6090.75,1,Unknown,14,4,2,3,9,6,8,1996,53914.11,Sí
403,43,No,Unknown,2036.6666666666667,Research & Development,3,3,Life Sciences,404,3,Female,1,5,Research Director,4,Unknown,16450.0,42770.0,3,No,14,2,1,2,8,0,7,1980,197400.0,Sí
404,29,No,Travel Rarely,1582.7713464696226,Research & Development,1,3,Unknown,405,4,Male,2,4,Research Director,4,Divorced,4492.84,33238.2,3,No,14,2,2,2,7,1,7,1994,153407.07,Sí
405,59,No,Unknown,1032.4872861766066,Research & Development,24,4,Unknown,406,24,Female,3,3,Manufacturing Director,4,Single,8339.32,21682.23,6,No,12,4,0,6,9,5,4,1964,100071.84,No
406,43,No,Travel Rarely,1032.4872861766066,Sales,4,4,Marketing,407,4,Male,2,3,Sales Executive,4,Single,8339.32,21682.23,3,No,14,4,0,3,21,15,17,1980,100071.84,Sí
407,44,Yes,Travel Rarely,1032.4872861766066,Research & Development,15,3,Medical,408,1,Male,3,3,Healthcare Representative,4,Married,8339.32,21682.23,1,Unknown,11,4,1,2,10,0,5,1979,100071.84,Sí
408,29,Yes,Unknown,290.03550973654063,Research & Development,7,3,Technical Degree,409,2,Male,3,1,Laboratory Technician,3,Divorced,2342.59,6090.75,3,Yes,13,1,2,2,7,7,7,1994,53914.11,Sí
409,32,No,Travel Rarely,640.6111111111111,Sales,8,3,Unknown,410,3,Female,4,2,Sales Executive,4,Married,5174.17,13452.83,1,Unknown,15,3,2,4,10,0,8,1991,62090.0,No
410,36,No,Travel Rarely,731.9206349206349,Research & Development,10,4,Technical Degree,411,4,Male,3,3,Healthcare Representative,3,Married,4492.84,15370.33,3,No,12,1,0,0,7,1,7,1987,70940.0,Sí
411,52,Yes,Unknown,1032.4872861766066,Sales,5,3,Unknown,412,2,Female,3,3,Sales Executive,2,Single,8339.32,21682.23,9,Yes,19,3,0,2,8,7,7,1971,100071.84,Sí
412,39,No,Travel Rarely,467.7936507936508,Research & Development,33,2,Unknown,413,1,Female,3,2,Manufacturing Director,3,Single,3778.33,9823.67,0,Unknown,11,1,0,6,8,1,7,1984,45340.0,Sí
413,34,No,Unknown,876.984126984127,Research & Development,9,3,Unknown,414,4,Female,3,3,Healthcare Representative,4,Unknown,7083.33,18416.67,0,Unknown,11,4,1,0,9,1,6,1989,85000.0,Sí
414,38,No,Unknown,556.2566609977324,Sales,2,2,Life Sciences,415,2,Male,3,2,Sales Executive,1,Unknown,4492.84,11681.39,3,Unknown,15,4,1,3,7,1,7,1985,53914.11,Sí
415,36,No,Travel Frequently,478.62698412698415,Sales,12,3,Marketing,416,12,Male,4,2,Sales Executive,1,Married,3865.83,10051.17,2,No,16,4,1,2,15,6,13,1987,46390.0,Sí
416,35,No,Unknown,553.3253968253969,Research & Development,1,3,Unknown,417,4,Male,2,2,Laboratory Technician,4,Unknown,4469.17,11619.83,0,No,12,2,1,0,9,0,0,1988,53630.0,No
417,55,Yes,Unknown,1582.7713464696226,Sales,13,4,Unknown,418,1,Female,4,4,Sales Executive,3,Unknown,12783.92,33238.2,6,Unknown,17,3,0,2,19,3,8,1968,153407.07,Sí
418,34,No,Unknown,556.2566609977324,Research & Development,29,3,Unknown,419,2,Female,3,2,Laboratory Technician,3,Unknown,4492.84,11681.39,4,Unknown,13,1,2,1,8,7,7,1989,53914.11,No
419,43,No,Unknown,421.0555555555556,Research & Development,6,3,Medical,420,1,Male,2,2,Research Scientist,3,Single,3400.83,8842.17,1,Yes,14,1,0,3,20,1,8,1980,40810.0,No
420,42,No,Travel Rarely,1582.7713464696226,Sales,10,3,Human Resources,421,3,Male,3,4,Manager,1,Married,12783.92,33238.2,0,Unknown,14,3,1,5,20,0,9,1981,153407.07,No
421,26,No,Travel Rarely,369.1587301587302,Research & Development,7,3,Unknown,422,3,Female,4,1,Laboratory Technician,1,Single,4492.84,7752.33,0,No,12,4,0,2,7,0,7,1997,35780.0,Sí
422,29,Yes,Unknown,1032.4872861766066,Research & Development,14,1,Other,423,3,Male,3,3,Healthcare Representative,4,Single,8339.32,21682.23,0,Yes,12,1,0,1,8,7,7,1994,100071.84,Sí
423,54,No,Unknown,1787.809523809524,Research & Development,1,3,Unknown,424,4,Male,3,4,Research Director,4,Unknown,4492.84,37544.0,6,Unknown,19,4,0,3,20,12,7,1969,173280.0,No
424,55,No,Unknown,1582.7713464696226,Research & Development,1,4,Unknown,425,2,Female,4,4,Research Director,4,Divorced,12783.92,33238.2,2,No,13,4,2,4,7,0,0,1968,153407.07,Sí
425,40,No,No Travel,556.2566609977324,Research & Development,9,4,Other,426,3,Female,3,2,Laboratory Technician,3,Unknown,4492.84,11681.39,3,No,11,3,2,2,8,0,7,1983,53914.11,Sí
426,31,No,Unknown,1113.563492063492,Sales,8,2,Unknown,427,1,Female,3,3,Sales Executive,4,Divorced,8994.17,23384.83,1,Unknown,18,1,1,5,13,9,9,1992,107930.0,Sí
427,46,Yes,Unknown,1032.4872861766066,Sales,9,3,Marketing,428,1,Female,3,3,Sales Executive,4,Divorced,8339.32,21682.23,4,No,11,1,1,1,7,4,3,1977,53914.11,Sí
428,45,No,Travel Rarely,1119.547619047619,Research & Development,20,3,Medical,429,2,Female,1,3,Healthcare Representative,1,Unknown,9042.5,23510.5,2,Yes,18,2,1,2,7,0,7,1978,108510.0,No
429,49,No,Travel Rarely,1079.8253968253969,Research & Development,7,4,Life Sciences,430,3,Female,3,3,Healthcare Representative,2,Divorced,4492.84,22676.33,3,Unknown,14,2,2,3,8,0,7,1974,104660.0,No
430,29,No,Travel Rarely,556.2566609977324,Sales,19,3,Unknown,431,3,Female,2,2,Sales Executive,3,Unknown,4492.84,11681.39,1,Unknown,14,3,2,3,10,0,4,1994,53914.11,Sí
431,29,Yes,Unknown,243.6984126984127,Research & Development,1,4,Technical Degree,432,1,Female,2,1,Research Scientist,1,Single,4492.84,5117.67,6,No,13,3,0,2,9,0,7,1994,23620.0,Sí
432,29,No,Unknown,556.2566609977324,Research & Development,8,1,Other,433,3,Male,1,2,Healthcare Representative,1,Unknown,4492.84,11681.39,3,No,13,3,1,3,7,0,7,1994,53914.11,Sí
433,40,No,Travel Rarely,1582.7713464696226,Sales,6,2,Unknown,434,3,Female,3,4,Manager,4,Single,12783.92,33238.2,1,Yes,21,4,0,2,21,7,7,1983,153407.07,Sí
434,48,No,Unknown,664.3412698412699,Sales,16,4,Life Sciences,435,3,Male,3,2,Sales Executive,3,Divorced,4492.84,13951.17,8,No,14,3,1,2,8,7,7,1975,64390.0,Sí
435,53,Yes,Unknown,1032.4872861766066,Research & Development,2,5,Unknown,436,3,Male,2,3,Manufacturing Director,4,Married,4492.84,21682.23,0,Unknown,16,2,1,4,33,1,9,1970,100071.84,Sí
436,44,No,Unknown,1973.9841269841268,Research & Development,7,3,Medical,437,2,Male,3,5,Research Director,4,Unknown,4492.84,41453.67,0,Yes,14,4,1,4,22,1,10,1979,191324.62,No
437,45,No,Unknown,595.2142857142857,Research & Development,5,5,Unknown,438,3,Male,1,2,Laboratory Technician,1,Unknown,4492.84,12499.5,1,Unknown,14,1,0,3,10,1,4,1978,57690.0,No
438,45,No,No Travel,452.4206349206349,Sales,26,3,Marketing,439,1,Female,2,2,Sales Executive,1,Unknown,3654.17,9500.83,1,Unknown,15,1,1,2,10,4,5,1978,53914.11,No
439,34,No,Travel Frequently,556.2566609977324,Research & Development,10,4,Unknown,440,3,Female,4,2,Manufacturing Director,4,Unknown,4492.84,11681.39,1,Unknown,13,1,1,3,9,7,2,1989,53914.11,Sí
440,39,No,Unknown,556.2566609977324,Research & Development,10,5,Medical,441,2,Female,3,2,Manufacturing Director,1,Unknown,4492.84,11681.39,2,Unknown,13,4,3,3,7,7,7,1984,53914.11,No
441,27,No,Unknown,419.50793650793656,Research & Development,36,3,Unknown,442,36,Female,2,1,Laboratory Technician,1,Divorced,3388.33,8809.67,1,No,11,1,2,3,7,0,7,1996,40660.0,Sí
442,45,No,Travel Rarely,556.2566609977324,Research & Development,2,2,Unknown,443,4,Male,2,2,Manufacturing Director,4,Divorced,4492.84,11681.39,1,Unknown,19,1,2,3,10,3,9,1978,53914.11,Sí
443,44,No,Unknown,556.2566609977324,Human Resources,1,5,Unknown,444,1,Female,3,2,Human Resources,4,Married,4492.84,11681.39,4,Yes,11,3,0,3,10,0,2,1979,53914.11,Sí
444,25,No,Unknown,537.1269841269842,Research & Development,2,1,Life Sciences,445,4,Female,4,2,Manufacturing Director,3,Divorced,4338.33,11279.67,1,Unknown,17,3,2,6,7,0,7,1998,52060.0,No
445,49,No,Unknown,1582.7713464696226,Sales,1,3,Unknown,446,3,Female,3,4,Manager,3,Single,12783.92,33238.2,4,Unknown,14,1,0,2,8,0,0,1974,153407.07,Sí
446,48,Yes,Travel Frequently,273.92857142857144,Sales,7,2,Unknown,447,4,Male,3,1,Sales Representative,3,Unknown,2212.5,5752.5,2,Unknown,11,3,2,3,9,7,7,1975,53914.11,No
447,26,No,Unknown,265.1587301587302,Research & Development,7,3,Medical,448,4,Female,3,1,Laboratory Technician,4,Unknown,2141.67,5568.33,1,No,20,3,0,5,7,5,7,1997,25700.0,Sí
448,44,No,Travel Rarely,1032.4872861766066,Research & Development,2,3,Life Sciences,449,3,Male,4,3,Healthcare Representative,4,Unknown,8339.32,21682.23,1,Unknown,19,2,1,2,8,6,7,1979,100071.84,Sí
449,36,No,Unknown,464.4920634920635,Sales,2,4,Unknown,450,3,Male,3,2,Sales Representative,4,Single,3751.67,9754.33,3,Unknown,15,3,0,2,13,6,7,1987,45020.0,Sí
450,46,No,Unknown,556.2566609977324,Research & Development,13,4,Unknown,451,3,Female,3,2,Healthcare Representative,2,Single,4492.84,11681.39,6,No,14,4,0,3,10,0,9,1977,53914.11,Sí
451,35,No,Unknown,556.2566609977324,Research & Development,27,4,Life Sciences,452,4,Female,3,2,Manufacturing Director,3,Married,4492.84,11681.39,2,Unknown,16,2,1,3,7,0,7,1988,53914.11,Sí
452,30,No,Travel Frequently,512.5714285714286,Research & Development,2,4,Unknown,453,4,Male,2,1,Research Scientist,1,Unknown,4140.0,10764.0,0,Unknown,16,4,0,2,9,0,7,1993,49680.0,No
453,30,No,Unknown,1032.4872861766066,Sales,15,2,Marketing,454,3,Female,2,3,Sales Executive,1,Unknown,8339.32,21682.23,2,No,11,1,1,2,7,1,7,1993,100071.84,Sí
454,33,No,No Travel,531.0396825396825,Sales,2,3,Marketing,455,4,Male,3,2,Sales Executive,2,Unknown,4289.17,11151.83,8,No,15,4,0,2,11,1,7,1990,51470.0,Sí
455,32,No,Unknown,280.42857142857144,Research & Development,5,4,Unknown,456,2,Female,3,1,Research Scientist,2,Single,2265.0,5889.0,2,No,14,2,0,3,7,0,7,1991,27180.0,Sí
456,43,No,Travel Rarely,365.1349206349206,Human Resources,2,3,Life Sciences,457,2,Female,3,1,Human Resources,4,Unknown,2949.17,7667.83,0,No,13,2,0,5,9,1,8,1980,53914.11,No
457,31,No,Travel Rarely,564.1587301587302,Sales,29,4,Marketing,458,1,Male,2,2,Sales Executive,4,Unknown,4556.67,11847.33,1,Unknown,14,1,2,3,12,5,7,1992,54680.0,Sí
458,35,Yes,Unknown,599.7539682539682,Sales,27,3,Unknown,459,3,Female,3,2,Sales Executive,4,Unknown,4844.17,12594.83,1,Unknown,18,4,0,2,10,7,7,1988,53914.11,No
459,35,No,No Travel,556.2566609977324,Research & Development,2,2,Medical,460,2,Female,3,2,Manufacturing Director,4,Divorced,4492.84,11681.39,2,No,14,3,1,6,7,1,7,1988,53914.11,No
460,30,No,Unknown,997.3888888888888,Research & Development,10,3,Medical,461,1,Male,3,3,Manufacturing Director,3,Single,8055.83,20945.17,9,No,14,2,0,3,7,0,2,1993,96670.0,No
461,46,Yes,Travel Rarely,556.2566609977324,Research & Development,19,2,Medical,462,4,Male,3,2,Healthcare Representative,2,Married,4492.84,11681.39,4,No,22,4,1,2,9,3,7,1977,53914.11,No
462,45,No,No Travel,531.7619047619048,Sales,2,4,Unknown,463,3,Male,3,2,Sales Executive,3,Married,4492.84,11167.0,4,Unknown,22,2,2,3,8,5,7,1978,51540.0,No
